edge_index,source_node_id,target_node_id,edge_scope,role_or_relation,edge_feature_name,edge_feature_full_name,relation_type,bond_type,weight,evidence_sources
0,dy:additive:C3,dy:additive:C4,intra_role,additive,intra_role_covalent_single_bond,INTRA_ROLE_COVALENT_SINGLE_BOND,COVALENT_BOND,SINGLE,0.33,
1,dy:additive:C4,dy:additive:N1,intra_role,additive,intra_role_covalent_double_bond,INTRA_ROLE_COVALENT_DOUBLE_BOND,COVALENT_BOND,DOUBLE,0.67,
2,dy:additive:N1,dy:additive:O1,intra_role,additive,intra_role_covalent_single_bond,INTRA_ROLE_COVALENT_SINGLE_BOND,COVALENT_BOND,SINGLE,0.33,
3,dy:aryl_halide:C1,dy:aryl_halide:C2,intra_role,aryl_halide,intra_role_covalent_single_bond,INTRA_ROLE_COVALENT_SINGLE_BOND,COVALENT_BOND,SINGLE,0.33,
4,dy:aryl_halide:C3,dy:aryl_halide:C4,intra_role,aryl_halide,intra_role_covalent_double_bond,INTRA_ROLE_COVALENT_DOUBLE_BOND,COVALENT_BOND,DOUBLE,0.67,
5,dy:ligand:C1,dy:ligand:C2,intra_role,ligand,intra_role_covalent_single_bond,INTRA_ROLE_COVALENT_SINGLE_BOND,COVALENT_BOND,SINGLE,0.33,
6,dy:ligand:C2,dy:ligand:C3,intra_role,ligand,intra_role_covalent_single_bond,INTRA_ROLE_COVALENT_SINGLE_BOND,COVALENT_BOND,SINGLE,0.33,
7,dy:ligand:C2,dy:ligand:C4,intra_role,ligand,intra_role_covalent_single_bond,INTRA_ROLE_COVALENT_SINGLE_BOND,COVALENT_BOND,SINGLE,0.33,
8,dy:ligand:C4,dy:ligand:C5,intra_role,ligand,intra_role_covalent_single_bond,INTRA_ROLE_COVALENT_SINGLE_BOND,COVALENT_BOND,SINGLE,0.33,
9,dy:ligand:C4,dy:ligand:C15,intra_role,ligand,intra_role_covalent_double_bond,INTRA_ROLE_COVALENT_DOUBLE_BOND,COVALENT_BOND,DOUBLE,0.67,
10,dy:ligand:C5,dy:ligand:C6,intra_role,ligand,intra_role_covalent_double_bond,INTRA_ROLE_COVALENT_DOUBLE_BOND,COVALENT_BOND,DOUBLE,0.67,
11,dy:ligand:C6,dy:ligand:C7,intra_role,ligand,intra_role_covalent_single_bond,INTRA_ROLE_COVALENT_SINGLE_BOND,COVALENT_BOND,SINGLE,0.33,
12,dy:ligand:C6,dy:ligand:C10,intra_role,ligand,intra_role_covalent_single_bond,INTRA_ROLE_COVALENT_SINGLE_BOND,COVALENT_BOND,SINGLE,0.33,
13,dy:ligand:C7,dy:ligand:C8,intra_role,ligand,intra_role_covalent_single_bond,INTRA_ROLE_COVALENT_SINGLE_BOND,COVALENT_BOND,SINGLE,0.33,
14,dy:ligand:C7,dy:ligand:C9,intra_role,ligand,intra_role_covalent_single_bond,INTRA_ROLE_COVALENT_SINGLE_BOND,COVALENT_BOND,SINGLE,0.33,
15,dy:ligand:C10,dy:ligand:C11,intra_role,ligand,intra_role_covalent_double_bond,INTRA_ROLE_COVALENT_DOUBLE_BOND,COVALENT_BOND,DOUBLE,0.67,
16,dy:ligand:C11,dy:ligand:C12,intra_role,ligand,intra_role_covalent_single_bond,INTRA_ROLE_COVALENT_SINGLE_BOND,COVALENT_BOND,SINGLE,0.33,
17,dy:ligand:C11,dy:ligand:C15,intra_role,ligand,intra_role_covalent_single_bond,INTRA_ROLE_COVALENT_SINGLE_BOND,COVALENT_BOND,SINGLE,0.33,
18,dy:ligand:C12,dy:ligand:C13,intra_role,ligand,intra_role_covalent_single_bond,INTRA_ROLE_COVALENT_SINGLE_BOND,COVALENT_BOND,SINGLE,0.33,
19,dy:ligand:C12,dy:ligand:C14,intra_role,ligand,intra_role_covalent_single_bond,INTRA_ROLE_COVALENT_SINGLE_BOND,COVALENT_BOND,SINGLE,0.33,
20,dy:ligand:C15,dy:ligand:C16,intra_role,ligand,intra_role_covalent_single_bond,INTRA_ROLE_COVALENT_SINGLE_BOND,COVALENT_BOND,SINGLE,0.33,
21,dy:ligand:C16,dy:ligand:C17,intra_role,ligand,intra_role_covalent_single_bond,INTRA_ROLE_COVALENT_SINGLE_BOND,COVALENT_BOND,SINGLE,0.33,
22,dy:ligand:C17,dy:ligand:P1,intra_role,ligand,intra_role_covalent_single_bond,INTRA_ROLE_COVALENT_SINGLE_BOND,COVALENT_BOND,SINGLE,0.33,
23,dy:ligand:P1,dy:aryl_halide:C1,cross_role,METAL_COORDINATION,cross_role_metal_coordination,CROSS_ROLE_METAL_COORDINATION,METAL_COORDINATION,,0.5,buchwald_hartwig_acs_chemrev_2025;buchwald_hartwig_libretexts;buchwald_hartwig_nature_index_topic
