node_id,incident_edge_feature_full_names,all_edge_feature_full_names
su_no:aryl_halide:C1,CROSS_ROLE_FORMING_BOND;CROSS_ROLE_METAL_COORDINATION;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:aryl_halide:C2,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:aryl_halide:C3,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:aryl_halide:C4,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:aryl_halide:C5,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:aryl_halide:C6,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:aryl_halide:C7,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:aryl_halide:C8,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:aryl_halide:C9,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:aryl_halide:C10,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:aryl_halide:C11,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:aryl_halide:C12,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:aryl_halide:C13,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:aryl_halide:C14,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:aryl_halide:C15,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:aryl_halide:C16,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
