node_index,node_id,dataset_key,role,dft_atom_label,element,node_feature_full_names,descriptor_names,likely_site_types
0,dy:additive:C3,DY,additive,C3,C,additive_.C3_NMR_shift;additive_.C3_electrostatic_charge,NMR_shift;electrostatic_charge,
1,dy:additive:C4,DY,additive,C4,C,additive_.C4_NMR_shift;additive_.C4_electrostatic_charge,NMR_shift;electrostatic_charge,
2,dy:additive:C5,DY,additive,C5,C,additive_.C5_NMR_shift;additive_.C5_electrostatic_charge,NMR_shift;electrostatic_charge,
3,dy:additive:N1,DY,additive,N1,N,additive_.N1_electrostatic_charge,electrostatic_charge,
4,dy:additive:O1,DY,additive,O1,O,additive_.O1_electrostatic_charge,electrostatic_charge,
5,dy:aryl_halide:C1,DY,aryl_halide,C1,C,aryl_halide_.C1_NMR_shift;aryl_halide_.C1_electrostatic_charge,NMR_shift;electrostatic_charge,ARYL_C_IPSO;ARYL_ELECTRONIC_SUBSTITUENT;ARYL_STERIC_SUBSTITUENT
6,dy:aryl_halide:C2,DY,aryl_halide,C2,C,aryl_halide_.C2_NMR_shift;aryl_halide_.C2_electrostatic_charge,NMR_shift;electrostatic_charge,ARYL_C_IPSO;ARYL_ELECTRONIC_SUBSTITUENT;ARYL_STERIC_SUBSTITUENT
7,dy:aryl_halide:C3,DY,aryl_halide,C3,C,aryl_halide_.C3_NMR_shift;aryl_halide_.C3_electrostatic_charge,NMR_shift;electrostatic_charge,ARYL_C_IPSO;ARYL_ELECTRONIC_SUBSTITUENT;ARYL_STERIC_SUBSTITUENT
8,dy:aryl_halide:C4,DY,aryl_halide,C4,C,aryl_halide_.C4_NMR_shift;aryl_halide_.C4_electrostatic_charge,NMR_shift;electrostatic_charge,ARYL_C_IPSO;ARYL_ELECTRONIC_SUBSTITUENT;ARYL_STERIC_SUBSTITUENT
9,dy:aryl_halide:H2,DY,aryl_halide,H2,H,aryl_halide_.H2_NMR_shift;aryl_halide_.H2_electrostatic_charge,NMR_shift;electrostatic_charge,
10,dy:aryl_halide:H3,DY,aryl_halide,H3,H,aryl_halide_.H3_NMR_shift;aryl_halide_.H3_electrostatic_charge,NMR_shift;electrostatic_charge,
11,dy:base:N1,DY,base,N1,N,base_.N1_electrostatic_charge,electrostatic_charge,BASE_BASIC_SITE
12,dy:ligand:C1,DY,ligand,C1,C,ligand_.C1_NMR_shift;ligand_.C1_electrostatic_charge,NMR_shift;electrostatic_charge,LIGAND_STERIC_ENVIRONMENT
13,dy:ligand:C2,DY,ligand,C2,C,ligand_.C2_NMR_shift;ligand_.C2_electrostatic_charge,NMR_shift;electrostatic_charge,LIGAND_STERIC_ENVIRONMENT
14,dy:ligand:C3,DY,ligand,C3,C,ligand_.C3_NMR_shift;ligand_.C3_electrostatic_charge,NMR_shift;electrostatic_charge,LIGAND_STERIC_ENVIRONMENT
15,dy:ligand:C4,DY,ligand,C4,C,ligand_.C4_NMR_shift;ligand_.C4_electrostatic_charge,NMR_shift;electrostatic_charge,LIGAND_STERIC_ENVIRONMENT
16,dy:ligand:C5,DY,ligand,C5,C,ligand_.C5_NMR_shift;ligand_.C5_electrostatic_charge,NMR_shift;electrostatic_charge,LIGAND_STERIC_ENVIRONMENT
17,dy:ligand:C6,DY,ligand,C6,C,ligand_.C6_NMR_shift;ligand_.C6_electrostatic_charge,NMR_shift;electrostatic_charge,LIGAND_STERIC_ENVIRONMENT
18,dy:ligand:C7,DY,ligand,C7,C,ligand_.C7_NMR_shift;ligand_.C7_electrostatic_charge,NMR_shift;electrostatic_charge,LIGAND_STERIC_ENVIRONMENT
19,dy:ligand:C8,DY,ligand,C8,C,ligand_.C8_NMR_shift;ligand_.C8_electrostatic_charge,NMR_shift;electrostatic_charge,LIGAND_STERIC_ENVIRONMENT
20,dy:ligand:C9,DY,ligand,C9,C,ligand_.C9_NMR_shift;ligand_.C9_electrostatic_charge,NMR_shift;electrostatic_charge,LIGAND_STERIC_ENVIRONMENT
21,dy:ligand:C10,DY,ligand,C10,C,ligand_.C10_NMR_shift;ligand_.C10_electrostatic_charge,NMR_shift;electrostatic_charge,LIGAND_STERIC_ENVIRONMENT
22,dy:ligand:C11,DY,ligand,C11,C,ligand_.C11_NMR_shift;ligand_.C11_electrostatic_charge,NMR_shift;electrostatic_charge,LIGAND_STERIC_ENVIRONMENT
23,dy:ligand:C12,DY,ligand,C12,C,ligand_.C12_NMR_shift;ligand_.C12_electrostatic_charge,NMR_shift;electrostatic_charge,LIGAND_STERIC_ENVIRONMENT
24,dy:ligand:C13,DY,ligand,C13,C,ligand_.C13_NMR_shift;ligand_.C13_electrostatic_charge,NMR_shift;electrostatic_charge,LIGAND_STERIC_ENVIRONMENT
25,dy:ligand:C14,DY,ligand,C14,C,ligand_.C14_NMR_shift;ligand_.C14_electrostatic_charge,NMR_shift;electrostatic_charge,LIGAND_STERIC_ENVIRONMENT
26,dy:ligand:C15,DY,ligand,C15,C,ligand_.C15_NMR_shift;ligand_.C15_electrostatic_charge,NMR_shift;electrostatic_charge,LIGAND_STERIC_ENVIRONMENT
27,dy:ligand:C16,DY,ligand,C16,C,ligand_.C16_NMR_shift;ligand_.C16_electrostatic_charge,NMR_shift;electrostatic_charge,LIGAND_STERIC_ENVIRONMENT
28,dy:ligand:C17,DY,ligand,C17,C,ligand_.C17_NMR_shift;ligand_.C17_electrostatic_charge,NMR_shift;electrostatic_charge,LIGAND_STERIC_ENVIRONMENT
29,dy:ligand:H3,DY,ligand,H3,H,ligand_.H3_NMR_shift;ligand_.H3_electrostatic_charge,NMR_shift;electrostatic_charge,LIGAND_STERIC_ENVIRONMENT
30,dy:ligand:H4,DY,ligand,H4,H,ligand_.H4_NMR_shift;ligand_.H4_electrostatic_charge,NMR_shift;electrostatic_charge,LIGAND_STERIC_ENVIRONMENT
31,dy:ligand:H9,DY,ligand,H9,H,ligand_.H9_NMR_shift;ligand_.H9_electrostatic_charge,NMR_shift;electrostatic_charge,LIGAND_STERIC_ENVIRONMENT
32,dy:ligand:H11,DY,ligand,H11,H,ligand_.H11_NMR_shift;ligand_.H11_electrostatic_charge,NMR_shift;electrostatic_charge,LIGAND_STERIC_ENVIRONMENT
33,dy:ligand:P1,DY,ligand,P1,P,ligand_.P1_electrostatic_charge,electrostatic_charge,LIGAND_DONOR_ATOM
