dataset_key,feature_index,feature_name,feature_kind
AZ,0,NMR_shift,node_dft_descriptor_value
AZ,1,electrostatic_charge,node_dft_descriptor_value
AZ,,az:amine:C1 source columns,amine_.C1_NMR_shift;amine_.C1_electrostatic_charge
AZ,,az:amine:N1 source columns,amine_.N1_NMR_shift;amine_.N1_electrostatic_charge
AZ,,az:aryl_halide:C1 source columns,halide_.C1_NMR_shift;halide_.C1_electrostatic_charge
AZ,,az:aryl_halide:C2 source columns,halide_.C2_NMR_shift;halide_.C2_electrostatic_charge
AZ,,az:ligand:P1 source columns,ligand_.P1_NMR_shift;ligand_.P1_electrostatic_charge
SU_NO,0,NMR_shift,node_dft_descriptor_value
SU_NO,1,electrostatic_charge,node_dft_descriptor_value
SU_NO,,su_no:aryl_halide:C1 source columns,halide_.C1_NMR_shift;halide_.C1_electrostatic_charge
SU_NO,,su_no:aryl_halide:C2 source columns,halide_.C2_NMR_shift;halide_.C2_electrostatic_charge
SU_NO,,su_no:aryl_halide:C3 source columns,halide_.C3_NMR_shift;halide_.C3_electrostatic_charge
SU_NO,,su_no:aryl_halide:C4 source columns,halide_.C4_NMR_shift;halide_.C4_electrostatic_charge
SU_NO,,su_no:aryl_halide:C5 source columns,halide_.C5_NMR_shift;halide_.C5_electrostatic_charge
SU_NO,,su_no:aryl_halide:C6 source columns,halide_.C6_NMR_shift;halide_.C6_electrostatic_charge
SU_NO,,su_no:aryl_halide:C7 source columns,halide_.C7_NMR_shift;halide_.C7_electrostatic_charge
SU_NO,,su_no:aryl_halide:C8 source columns,halide_.C8_NMR_shift;halide_.C8_electrostatic_charge
SU_NO,,su_no:aryl_halide:C9 source columns,halide_.C9_NMR_shift;halide_.C9_electrostatic_charge
SU_NO,,su_no:aryl_halide:C10 source columns,halide_.C10_NMR_shift;halide_.C10_electrostatic_charge
SU_NO,,su_no:aryl_halide:C11 source columns,halide_.C11_NMR_shift;halide_.C11_electrostatic_charge
SU_NO,,su_no:aryl_halide:C12 source columns,halide_.C12_NMR_shift;halide_.C12_electrostatic_charge
SU_NO,,su_no:aryl_halide:C13 source columns,halide_.C13_NMR_shift;halide_.C13_electrostatic_charge
SU_NO,,su_no:aryl_halide:C14 source columns,halide_.C14_NMR_shift;halide_.C14_electrostatic_charge
SU_NO,,su_no:aryl_halide:C15 source columns,halide_.C15_NMR_shift;halide_.C15_electrostatic_charge
SU_NO,,su_no:aryl_halide:C16 source columns,halide_.C16_NMR_shift;halide_.C16_electrostatic_charge
SU_NO,,su_no:aryl_halide:C17 source columns,halide_.C17_NMR_shift;halide_.C17_electrostatic_charge
SU_NO,,su_no:aryl_halide:N3 source columns,halide_.N3_NMR_shift;halide_.N3_electrostatic_charge
SU_NO,,su_no:aryl_halide:N4 source columns,halide_.N4_NMR_shift;halide_.N4_electrostatic_charge
SU_NO,,su_no:ligand:P1 source columns,ligand_.P1_NMR_shift;ligand_.P1_electrostatic_charge
SU_NO,,su_no:organoboron:B1 source columns,boronic Acid_.B1_electrostatic_charge
SU_NO,,su_no:organoboron:C1 source columns,boronic Acid_.C1_NMR_shift;boronic Acid_.C1_electrostatic_charge
SU_NO,,su_no:organoboron:C2 source columns,boronic Acid_.C2_NMR_shift;boronic Acid_.C2_electrostatic_charge
SU_NO,,su_no:organoboron:C3 source columns,boronic Acid_.C3_NMR_shift;boronic Acid_.C3_electrostatic_charge
SU_NO,,su_no:organoboron:C4 source columns,boronic Acid_.C4_NMR_shift;boronic Acid_.C4_electrostatic_charge
SU_NO,,su_no:organoboron:C5 source columns,boronic Acid_.C5_NMR_shift;boronic Acid_.C5_electrostatic_charge
SU_NO,,su_no:organoboron:C6 source columns,boronic Acid_.C6_NMR_shift;boronic Acid_.C6_electrostatic_charge
SU_NO,,su_no:organoboron:C7 source columns,boronic Acid_.C7_NMR_shift;boronic Acid_.C7_electrostatic_charge
SU_NO,,su_no:organoboron:C8 source columns,boronic Acid_.C8_NMR_shift;boronic Acid_.C8_electrostatic_charge
SU_NO,,su_no:organoboron:C9 source columns,boronic Acid_.C9_NMR_shift;boronic Acid_.C9_electrostatic_charge
SU_NO,,su_no:organoboron:C10 source columns,boronic Acid_.C10_NMR_shift;boronic Acid_.C10_electrostatic_charge
SU_NO,,su_no:organoboron:C11 source columns,boronic Acid_.C11_NMR_shift;boronic Acid_.C11_electrostatic_charge
SU_NO,,su_no:organoboron:C12 source columns,boronic Acid_.C12_NMR_shift;boronic Acid_.C12_electrostatic_charge
SU_NO,,su_no:organoboron:C13 source columns,boronic Acid_.C13_NMR_shift;boronic Acid_.C13_electrostatic_charge
SU_NO,,su_no:organoboron:C14 source columns,boronic Acid_.C14_NMR_shift;boronic Acid_.C14_electrostatic_charge
SU_NO,,su_no:organoboron:C15 source columns,boronic Acid_.C15_NMR_shift;boronic Acid_.C15_electrostatic_charge
SU_NO,,su_no:organoboron:C16 source columns,boronic Acid_.C16_NMR_shift;boronic Acid_.C16_electrostatic_charge
